Gene,logFC.GPL96
HPR///HP,4.656226
IL1R2,4.005053
CD3G,-4.451913
KCNQ1,-4.25955
MMP9,4.020574
VNN1,3.801439
DDX24,-3.320575
IL13,2.984919
ANGEL2,-2.703278
KLF3-AS1,-3.648243
NIF3L1,-3.385975
PPARD,-3.403434
UTP3,-2.95807
ORC3,-2.331547
NLRP1,-2.489327
ACD,-2.594488
API5,-2.443043
ZBTB20,-2.911283
CD177,4.45578
MAPKAPK5-AS1,-3.540072
ZFPL1,-3.640556
S100A12,3.07299
ARG1,2.613533
G0S2,2.560848
PTGDR2,-3.843059
CA4,3.377527
ZFR,-2.330923
SIPA1L1,-3.361146
DCTD,-2.586752
RANBP3,-2.975423
RRP7A,-2.792347
ZC3H14,-2.375598
SNORA64///RPS2,-2.637348
CKAP4,2.115227
CLCN1,-2.888176
MIR4800///MXD4,-3.933467
RBM41,-2.766161
RBM5,-2.463125
CTSL,1.694162
NCR3,-2.981793
CPD,3.855696
DAP3,-3.090995
DDX19A///DDX19B,-2.862532
HP,2.947072
CTC1,-1.934912
GRM5,3.254994
OR1A1,2.439638
PEAK1,2.472223
C1QB,3.417822
HLA-DPA1,-2.367662
LOC102724993///LOC101930075///NPIPA8///NPIPA7///NPIPA5///NPIPA2///NPIPA3///PKD1P1///NPIPA1,-2.944829
CLC,-3.495508
G6PC3,-2.207946
UBE2G2,-2.458976
WWP1,-2.166856
ACACB,-3.064111
BTN3A2///BTN3A3,-1.725558
C1QA,2.253999
CD163,2.346584
EBAG9,-2.211185
HIST1H2BN,3.648363
HTR2B,3.601699
IL18R1,2.500785
KLHDC10,-2.683228
LGALS2,-3.222943
OLAH,1.940745
SDCCAG3,-2.242242
OLFM4,6.080776
CCL5,-2.286368
CLK2,-2.006478
FLT3LG,-3.808637
TSR3,2.270341
C1orf27,-2.529685
PRRC2B,-3.258135
RNF126P1,-2.25371
MBP,-2.530574
ENOSF1,-2.468668
ARL4C,-1.586758
CDR2L,-1.871926
CDYL,-2.193644
IPO7,-1.558649
ITPA,-2.490188
LILRA3,2.553977
LRIG1,-3.73533
RETN,2.355652
SMAD3,-1.756035
RNASE6,-1.681707
USE1,-2.760192
MBD1,-2.403816
DZIP3,-3.127902
NPR2,2.184728
CTAGE5,-2.070643
PGLYRP1,4.088031
MORC2,-1.617962
URI1,-3.173521
ACSL1,2.531255
BAG5,-1.982574
CEACAM1,1.958258
DHRS3,-2.110058
SEPT9,-1.588353
TARP///TRGV9///TRGC2,-1.823413
TRAK2,-1.970776
ALDH1A1,-2.900352
GATA3,-2.763005
JUP,-2.668752
LTF,4.91567
MC5R,2.410282
MMP8,4.002503
SLC24A2,1.783052
TCF4,-4.200033
MPPED2,3.524676
MRPS18B,-1.8096
LPCAT3,-1.731195
BCL2A1,2.297781
MCCC1,-2.336619
SLFN12,-2.120733
TTC3P1///TTC3,-1.657817
ZBTB16,1.582354
WDR48,-2.637056
EID1,-2.998574
SLCO4A1,2.073999
CBX7,-2.071524
KLF12,-2.188561
SLX1A///SLX1B,-2.317589
ETS2,1.646108
HBZ,-3.44284
ICOS,-2.95852
PALM2-AKAP2///AKAP2,-2.259347
SFT2D3///WDR33,-2.761971
DNAAF1,-2.526315
FCER1A,-2.602758
MPO,3.705889
DMXL1,-1.84517
DYRK4,-1.771017
IGLC1,2.012191
STOM,1.676998
ASTE1,-2.946502
MALT1,-2.995825
SATB1,-1.677995
HSP90AA1,1.973022
BICC1,3.831517
PRL,2.416108
SF1,-1.731701
MR1,-2.591584
TRBC1,-1.518358
DDAH2,1.556691
ZCCHC8,-1.532931
ZNF3,-3.017707
ADCY3,1.833614
ATP6V1G2-DDX39B///SNORD84///DDX39B,-2.517793
MBNL1,-1.540274
PML,2.874354
LOC102724229///RASA4B///RASA4,-1.994235
SETD6,-1.81333
TRMT61B,-2.057485
LY75-CD302///CD302///LY75,-1.839917
TMEM256-PLSCR3///PLSCR3,-2.088569
HK3,1.75518
NUP62,-2.678808
TENM3,2.282864
BRD9,1.847817
ENC1,-2.080484
GUCA2A,2.598938
N4BP1,-2.237809
NAT9,-3.100577
PLBD1,1.642296
SORT1,1.564974
TGFBI,-1.653136
CLEC5A,2.001019
ARHGEF9,-3.601038
SHARPIN,-2.35547
TIAM1,-1.532081
LIPT1,-1.87342
NIPSNAP1,-1.733432
TBC1D22A,-1.994516
TTC4,-1.791014
EPPIN-WFDC6///EPPIN,2.011004
PFKFB2,1.638715
MYBL1,-1.890152
VPS13D,-1.586425
PFKFB3,1.713518
B4GALT5,1.787631
DPEP2,-3.727613
FCAR,1.790094
HGSNAT,-2.160076
MGAM,2.076895
PLEKHG3,-2.588809
CALCA,2.077793
CDC14A,-1.871597
EXOSC2,2.162141
HMGB2,1.506329
LILRB3,1.820885
MED17,-1.686453
MEF2C,-2.926286
NR1D2,-2.833227
RABGAP1L,-1.679014
GRIN2A,2.533672
RUFY3,-2.986411
TRA2A,-2.354044
SERINC3,-1.537082
TBX2,2.450221
CEACAM8,3.96633
NACA,-2.188999
PCGF1,-2.122937
ZNF821,-1.561795
CLIC2,3.16823
MAP4K1,-2.797491
CHIT1,1.954636
NOTCH2NL,-1.792954
RAD23B,-3.034024
ATP11A,-1.832479
CTSD,2.11981
MPHOSPH9,-4.114154
NSUN5,-3.401827
NUP88,1.841212
P2RY10,-1.582631
PPIL6,1.776285
TBL1X,-1.925105
TRADD,-2.248247
SCAP,-2.06448
KCNB1,1.660967
LOC101928269///LOC100506403///RUNX1,-2.475144
CYP2C9,1.571268
OXR1,-2.152981
TRAC,-1.678987
FBXO21,-1.563384
MEA1,-1.796721
OSGEPL1,-2.38371
UBASH3A,-2.749216
NENF,2.432805
RHAG,1.750025
TAF1C,-2.781395
TNFAIP8L2-SCNM1///SCNM1,-1.996475
DEFA1B///DEFA3///DEFA1,3.590093
ADK,-2.035181
LEF1,-1.792254
COX11,-1.512143
RGS1,3.873306
RFX7,-2.916374
ANXA3,2.524075
COIL,-1.93394
IPO9,-1.945983
KMT2B,-2.116748
RNF114,-1.732719
RRP7BP///POLDIP3,1.729403
SNRPC,-1.578241
ZBTB38,-2.066476
IDS,-2.741404
LCK,-1.549648
NKTR,-1.835798
RPL13P5///LRRC23,-2.37534
TGFBR2,-1.866758
TRPM1,2.392321
WFDC1,2.160082
GMEB1,-2.006204
USP34,-2.839049
BCLAF1,-2.553814
KDELR3,2.982497
