Gene,GSE117613.CM
TUBB2A,-2.9655972
FTH1P3,-2.848865
BLVRB,-2.7249288
HLA-DRB5,-2.5778356
RPL21P28,-2.4122785
METTL7A,-2.3042058
AKAP7,-2.1189852
CAT,-2.0629904
CD164,-2.0327016
RPS28,-2.0078989
HEMGN,-1.9938648
RAD21,-1.9843747
GPBP1L1,-1.9664928
HLA-DRB6,-1.9654997
SESN3,-1.9631943
ALDH5A1,-1.9614508
PPIB,-1.9561665
CNBP,-1.929596
TXNL1,-1.9196102
STRADB,-1.9133727
RANGRF,-1.8985887
ADIPOR1,-1.881879
LIMS1,-1.8725616
SNCA,-1.8678748
TOP1P2,-1.8624392
CDKN1B,-1.8508113
KIAA1033,-1.8313489
RPL7,-1.817534
ST6GALNAC4,-1.8031392
RPL23AP7,-1.7787433
FBXO7,-1.7588242
RAB6A,-1.7525759
HECA,-1.7424987
LUC7L3,-1.7407615
ARL6IP1,-1.7395038
BOLA2,-1.7380077
SPAST,-1.7379577
PTGES3,-1.7371541
FAM26F,-1.7243555
PPP1R15B,-1.7133595
KAT2B,-1.7123204
SUMO1,-1.7071907
CHPT1,-1.697624
SLBP,-1.696407
DCAF6,-1.681662
ALAS2,-1.6809301
FKBP8,-1.6765721
TUBA4A,-1.6741166
CCZ1B,-1.661719
BBOF1,-1.6534514
HBZ,-1.6511685
RAP1B,-1.6463238
KLC3,-1.6417324
SMAD5,-1.6368271
RPL23,-1.6357893
TSC22D1,-1.6287248
PIK3AP1,-1.6284036
HAGH,-1.6161616
CTR9,-1.6077528
PPM1A,-1.597586
AZIN1,-1.5967157
MCTS1,-1.5948749
LYZ,-1.5913688
RBBP4,-1.589866
HNRNPH1,-1.5867937
HNRNPC,-1.5837637
RUNDC3A,-1.5834718
FASTK,-1.5740831
RPL9,-1.5736022
ZNF23,-1.5722753
FECH,-1.5715562
PPP3CA,-1.5710286
TSPAN5,-1.5708216
C18orf32,-1.5675841
MYC,-1.5666622
ROCK1,-1.5505624
USP8,-1.5479984
GNA13,-1.543389
YY1,-1.5283517
TMOD1,-1.5279968
EAPP,-1.527065
ECHDC1,-1.5225067
FAM49B,-1.5196319
BMP2K,-1.5163912
RAB3IL1,-1.5081869
ETS1,-1.5013673
CCL3L3,1.5011914
IRAK3,1.5087536
LILRA6,1.513479
AZU1,1.5222848
ALPL,1.5463906
ALOX5AP,1.5592569
GYG1,1.5810516
CD52,1.595169
FPR1,1.6002082
ACER3,1.6020184
HP,1.6196761
CA4,1.6343807
LDHA,1.6458473
TCN1,1.6538065
CAMP,1.6701021
IFITM3,1.6974228
CD177,1.6999112
MMP8,1.7078358
SLC2A3,1.7133778
DYSF,1.7221576
BASP1,1.7255514
CEACAM8,1.7297943
IL18R1,1.7308062
NFKBIA,1.7517699
ANKRD22,1.7581114
FCER1G,1.7623413
IL18RAP,1.7930632
GZMB,1.8011601
RGL4,1.8170348
BCL6,1.8317914
ANXA1,1.841145
CKAP4,1.8729057
LAG3,1.8762896
PADI4,1.9000887
RNASE3,1.919212
PGD,1.9424836
MPO,1.9722213
TIMP1,1.986099
C1QC,2.0698583
RNASE2,2.0755433
S100A12,2.0844887
HK3,2.1749752
MS4A3,2.1786453
PLBD1,2.273022
TNFAIP6,2.3165262
PGLYRP1,2.8309077
